(33.583333333, -86.866666666)
(30.786388888, -88.213888888)
(34.765833333, -86.557777777)
(30.733055555, -87.720277777)
(32.219166666, -86.209444444)
(34.713611111, -86.586111111)
(33.265277777, -86.667777777)
(33.20654, -87.534607)
(33.5175, -86.809444444)
(32.361666666, -86.279166666)
(61.16667, -149.25056)
(61.218333333, -149.899166666)
(62.4, -149.58)
(33.513888888, -112.475833333)
(33.44838, -112.07404)
(32.065277777, -111.820833333)
(32.221666666, -110.926388888)
(33.415, -111.831388888)
(32.986944444, -111.327222222)
(33.493055555, -111.926111111)
(33.303333333, -111.841388888)
(33.583333333, -112.2)
(34.561388888, -112.54)
(34.742222222, -92.285833333)
(36.352222222, -94.234166666)
(36.0025, -94.227222222)
(34.736111111, -92.331111111)
(35.594166666, -94.258055555)
(35.16, -92.313611111)
(34.651111111, -92.681666666)
(35.840277777, -90.7075)
(34.583611111, -93.1275)
(36.076388888, -94.160833333)
(34.05, -118.25)
(34.05223, -118.24368)
(33.02, -116.77)
(33.67, -117.78)
(33.73, -115.98)
(34.83, -116.19)
(37.36, -121.97)
(37.65, -121.91)
(38.45, -121.35)
(32.715, -117.1625)
(39.739166666, -104.984722222)
(38.84, -104.52)
(39.64, -104.33)
(39.7392, -104.985)
(39.59, -105.25)
(39.87, -104.35)
(38.863333333, -104.791944444)
(39.710833333, -104.8125)
(40.65, -105.46)
(39.35, -104.93)
(41.23, -73.37)
(41.81, -72.73)
(41.35, -72.9)
(41.47, -72.1)
(41.79, -73.24)
(41.44, -72.52)
(41.85, -72.33)
(41.183333333, -73.2)
(41.096666666, -73.552222222)
(41.308333333, -72.925)
(39.58, -75.64)
(38.68, -75.34)
(39.1, -75.5)
(39.748333333, -75.551388888)
(38.89511, -77.03637)
(25.774167, -80.193611)
(26.124354, -80.249503)
(26.71, -80.05)
(27.91, -82.35)
(28.51, -81.32)
(27.9, -82.74)
(30.33, -81.65)
(30.316666666, -81.65)
(26.58, -81.92)
(27.96, -81.7)
(33.79, -84.47)
(33.96, -84.03)
(33.94, -84.58)
(33.77, -84.23)
(33.756944444, -84.390277777)
(31.97, -81.09)
(33.54, -84.36)
(34.24, -84.47)
(33.46, -84.16)
(34.22, -84.13)
(21.466666666, -157.966666666)
(21.304694444, -157.857194444)
(19.583333333, -155.5)
(20.86774, -156.61706)
(22.066666666, -159.65)
(21.2889, -157.717)
(21.409166666, -157.966944444)
(19.705555555, -155.085833333)
(43.45, -116.24)
(43.63, -116.71)
(43.613611111, -116.237777777)
(47.68, -116.7)
(43.614166666, -116.398888888)
(43.38, -111.6)
(42.67, -112.22)
(43.574722222, -116.563611111)
(42.35, -114.66)
(43.658333333, -116.680277777)
(41.8, -87.716666666)
(41.881944444, -87.627777777)
(41.85195, -88.08567)
(42.43, -87.78)
(41.44, -87.98)
(41.95, -88.433333333)
(42.32, -88.45)
(42.33, -89.16)
(38.83, -89.91)
(38.47, -89.93)
(39.78, -86.14)
(39.768611111, -86.158055555)
(41.48, -87.38)
(41.09, -85.06)
(40.07, -86.05)
(41.62, -86.29)
(41.08045, -85.13915)
(41.6, -85.86)
(40.39, -86.89)
(38.02, -87.58)
(41.685, -93.570277777)
(42.078611111, -91.599722222)
(41.590833333, -93.620833333)
(41.635833333, -90.633888888)
(41.666666666, -91.583333333)
(41.983333333, -91.668611111)
(42.468888888, -92.305277777)
(42.391388888, -96.050833333)
(41.543055555, -90.590833333)
(42.470833333, -90.878333333)
(38.8667, -94.8667)
(37.7167, -97.45)
(37.688888888, -97.336111111)
(38.940072222, -94.680697222)
(38.903333333, -95.831388888)
(39.063611111, -94.818611111)
(39.106666666, -94.676388888)
(39.04833, -95.67804)
(38.8808, -94.8031)
(38.8667, -95.2333)
(38.19, -85.66)
(38.256111111, -85.751388888)
(38.029722222, -84.494722222)
(38.04, -84.46)
(38.45647, -82.69238)
(38.41258, -82.70905)
(38.93, -84.54)
(38.97, -84.73)
(36.99, -86.42)
(37.7, -85.96)
(30.54, -91.09)
(29.733333333, -90.1)
(29.96666667, -90.05)
